customer_id,weekly_visits,session_time_minutes,page_views,app_opens
1,8,17.61,16.0,6
2,3,12.93,9.0,2
3,14,20.7,56.0,12
4,6,11.53,24.0,6
5,5,7.87,10.0,4
6,4,1.24,8.0,4
7,8,10.58,24.0,8
8,12,13.61,48.0,12
9,4,24.19,,4
10,17,15.7,68.0,15
11,5,18.21,10.0,5
12,5,16.52,10.0,4
13,4,18.31,8.0,4
14,8,11.85,32.0,8
15,6,8.88,24.0,7
16,8,12.69,16.0,10
17,6,3.54,24.0,6
18,6,23.24,24.0,6
19,9,-0.92,36.0,6
20,10,16.09,20.0,10
21,8,17.26,32.0,6
22,6,8.5,12.0,7
23,6,12.67,18.0,6
24,7,9.81,28.0,5
25,4,11.44,16.0,3
26,9,27.55,36.0,6
27,8,9.93,24.0,9
28,4,9.85,16.0,3
29,5,15.0,20.0,3
30,9,17.28,36.0,6
31,3,25.7,9.0,2
32,8,15.53,16.0,6
33,10,12.0,40.0,9
34,6,11.2,24.0,7
35,9,13.58,36.0,11
36,13,5.66,39.0,12
37,4,7.1,16.0,5
38,5,18.87,15.0,3
39,7,14.27,28.0,7
40,11,25.85,22.0,8
41,7,13.65,14.0,5
42,1,9.45,3.0,1
43,4,27.98,,3
44,11,22.93,33.0,11
45,6,19.43,24.0,7
46,9,25.46,18.0,9
47,21,25.91,42.0,26
48,9,20.39,36.0,11
49,7,16.63,21.0,7
50,6,7.62,,5
51,7,8.58,28.0,7
52,11,26.86,22.0,10
53,5,7.76,20.0,4
54,7,15.95,28.0,7
55,11,16.19,22.0,12
56,2,23.33,6.0,1
57,8,14.9,,6
58,5,7.28,15.0,5
59,9,23.22,27.0,7
60,8,17.12,24.0,6
61,13,14.56,26.0,9
62,6,15.07,12.0,6
63,8,9.33,32.0,10
64,8,14.34,24.0,7
65,6,23.03,18.0,6
66,6,13.9,24.0,6
67,5,19.34,10.0,4
68,3,18.95,9.0,3
69,11,15.81,44.0,11
70,3,12.5,12.0,2
71,4,15.9,12.0,4
72,14,17.36,56.0,11
73,7,13.91,21.0,8
74,7,13.26,21.0,8
75,7,15.49,21.0,8
76,4,16.98,16.0,3
77,4,10.94,8.0,3
78,9,8.98,18.0,9
79,8,16.24,32.0,9
80,7,25.18,21.0,8
81,9,12.12,36.0,7
82,9,16.52,36.0,11
83,5,12.01,20.0,5
84,3,13.99,6.0,3
85,6,17.71,12.0,7
86,7,11.64,21.0,7
87,9,16.62,36.0,7
88,10,14.38,40.0,7
89,7,24.0,28.0,6
90,9,13.87,27.0,8
91,6,7.1,24.0,6
92,4,10.6,16.0,4
93,11,24.27,44.0,10
94,5,14.47,20.0,6
95,4,10.65,16.0,4
96,4,19.91,16.0,4
97,16,16.3,32.0,12
98,2,8.04,4.0,2
99,3,21.88,6.0,2
100,7,0.99,28.0,9
101,5,22.75,15.0,4
102,13,19.77,52.0,10
103,3,15.08,9.0,2
104,3,16.65,9.0,3
105,5,18.59,15.0,5
106,7,24.28,21.0,5
107,13,19.7,52.0,9
108,13,19.03,52.0,16
109,8,16.23,,6
110,6,16.66,,7
111,10,27.61,30.0,9
112,6,15.49,24.0,4
113,12,13.25,36.0,12
114,8,,16.0,8
115,3,22.98,12.0,2
116,3,19.26,6.0,3
117,5,11.36,20.0,5
118,14,12.24,56.0,15
119,5,6.59,20.0,4
120,7,9.46,14.0,8
121,23,22.61,69.0,29
122,9,24.73,36.0,8
123,13,12.48,52.0,15
124,13,15.09,26.0,14
125,7,7.91,21.0,8
