ds,yhat,n_orders,avg_order_value,ma_4w,ma_12w,data_type,yhat_lower,yhat_upper,model_used
2019-01-07,17206.1,285.0,60.372280701754384,17206.1,17206.1,historical,,,
2019-01-14,13193.04,246.0,53.63024390243903,15199.57,15199.57,historical,,,
2019-01-21,16179.99,282.0,57.375851063829785,15526.376666666665,15526.376666666665,historical,,,
2019-01-28,13449.31,242.0,55.57566115702479,15007.11,15007.11,historical,,,
2019-02-04,10853.75,198.0,54.81691919191919,13419.0225,14176.438,historical,,,
2019-02-11,15179.22,278.0,54.601510791366906,13915.5675,14343.568333333335,historical,,,
2019-02-18,15431.7,264.0,58.45340909090909,13728.495,14499.015714285715,historical,,,
2019-02-25,16436.25,280.0,58.700892857142854,14475.23,14741.17,historical,,,
2019-03-04,15148.19,287.0,52.78114982578398,15548.84,14786.394444444442,historical,,,
2019-03-11,14576.21,273.0,53.39271062271062,15398.087500000001,14765.376,historical,,,
2019-03-18,16354.16,272.0,60.12558823529412,15628.7025,14909.810909090911,historical,,,
2019-03-25,13372.3,243.0,55.03004115226337,14862.715,14781.685,historical,,,
2019-04-01,8021.45,149.0,53.83523489932886,13081.029999999999,14016.2975,historical,,,
2019-04-08,14863.94,263.0,56.51688212927757,13152.9625,14155.53916666667,historical,,,
2019-04-15,15260.61,261.0,58.469770114942534,12879.575,14078.924166666666,historical,,,
2019-04-22,16741.57,271.0,61.7770110701107,13721.8925,14353.279166666667,historical,,,
2019-04-29,13091.22,250.0,52.36488,14989.335000000001,14539.735,historical,,,
2019-05-06,13398.4,240.0,55.82666666666667,14622.95,14391.333333333334,historical,,,
2019-05-13,14489.77,275.0,52.69007272727273,14430.24,14312.839166666667,historical,,,
2019-05-20,15834.36,274.0,57.78963503649635,14203.4375,14262.68166666667,historical,,,
2019-05-27,14920.78,282.0,52.91056737588653,14660.8275,14243.730833333335,historical,,,
2019-06-03,8402.15,151.0,55.64337748344371,13411.765000000001,13729.225833333332,historical,,,
2019-06-10,15383.96,260.0,59.16907692307692,13635.3125,13648.375833333332,historical,,,
2019-06-17,14523.43,279.0,52.05530465949821,13307.58,13744.303333333335,historical,,,
2019-06-24,14731.42,255.0,57.77027450980392,13260.24,14303.467499999999,historical,,,
2019-07-01,12063.73,200.0,60.31865,14175.635,14070.116666666667,historical,,,
