customer_id,recency_days,frequency,monetary,first_purchase,last_purchase,avg_order_value,r_score,f_score,m_score,rfm_score,segment,kmeans_cluster,kmeans_label
1,8,8,275.37,2019-09-01,2023-12-21,34.42125,5,2,1,2.65,Potential Loyalists,1,Mid Value
2,98,10,347.41,2019-12-03,2023-09-22,34.741,2,3,2,2.25,At Risk,0,Low Value
3,70,5,195.88,2020-05-01,2023-10-20,39.176,3,1,1,1.6999999999999997,Potential Loyalists,0,Low Value
4,413,9,288.55,2019-09-14,2022-11-11,32.06111111111111,1,2,1,1.25,Lost,0,Low Value
5,738,9,266.97,2019-01-12,2021-12-21,29.663333333333338,1,2,1,1.25,Lost,0,Low Value
6,25,9,299.03,2019-10-25,2023-12-04,33.22555555555555,4,2,1,2.3,Potential Loyalists,1,Mid Value
7,3,9,328.94,2019-06-26,2023-12-26,36.54888888888889,5,2,2,3.05,Potential Loyalists,1,Mid Value
8,38,11,721.6800000000001,2019-11-03,2023-11-21,65.60727272727273,4,3,4,3.75,Loyal Customers,2,Premium
9,95,8,324.90999999999997,2019-04-12,2023-09-25,40.613749999999996,2,2,2,2.0,At Risk,0,Low Value
10,392,5,463.72,2020-12-03,2022-12-02,92.744,1,1,3,1.8000000000000003,Others,0,Low Value
11,123,9,298.44,2019-03-19,2023-08-28,33.16,2,2,1,1.6,Lost,0,Low Value
12,354,12,432.39,2019-06-25,2023-01-09,36.0325,1,4,3,2.5500000000000003,Others,3,High Value
13,34,9,373.48,2019-07-16,2023-11-25,41.49777777777778,4,2,2,2.7,Potential Loyalists,1,Mid Value
14,5,13,421.97,2019-12-09,2023-12-24,32.45923076923077,5,4,2,3.55,Others,1,Mid Value
15,16,19,1342.14,2019-01-15,2023-12-13,70.63894736842106,5,5,5,5.0,Champions,2,Premium
16,6,12,444.32,2019-09-26,2023-12-23,37.026666666666664,5,4,3,3.95,Loyal Customers,2,Premium
17,101,7,200.70999999999998,2019-08-09,2023-09-19,28.67285714285714,2,1,1,1.35,Lost,0,Low Value
18,223,8,325.83,2019-01-12,2023-05-20,40.72875,2,2,2,2.0,At Risk,0,Low Value
19,483,7,795.6099999999999,2019-03-14,2022-09-02,113.65857142857142,1,1,5,2.6,Others,3,High Value
20,339,10,619.99,2019-03-17,2023-01-24,61.999,1,3,4,2.7,Others,3,High Value
21,15,11,519.72,2019-03-20,2023-12-14,47.24727272727273,5,3,3,3.7,Loyal Customers,1,Mid Value
22,187,12,985.79,2019-01-26,2023-06-25,82.14916666666666,2,4,5,3.7,Loyal Customers,3,High Value
23,1,11,422.3,2019-09-07,2023-12-28,38.39090909090909,5,3,2,3.3,Potential Loyalists,1,Mid Value
24,46,10,511.37,2019-05-07,2023-11-13,51.137,3,3,3,3.0,Loyal Customers,3,High Value
25,131,5,225.84000000000003,2020-07-16,2023-08-20,45.168000000000006,2,1,1,1.35,Lost,0,Low Value
26,27,12,630.99,2019-11-04,2023-12-02,52.5825,4,4,4,4.0,Champions,2,Premium
27,200,7,498.09,2019-09-09,2023-06-12,71.15571428571428,2,1,3,2.1500000000000004,Others,0,Low Value
28,25,7,252.04000000000002,2021-11-28,2023-12-04,36.00571428571429,4,1,1,2.05,Potential Loyalists,1,Mid Value
29,421,8,217.66,2019-09-21,2022-11-03,27.2075,1,2,1,1.25,Lost,0,Low Value
30,14,15,1266.4,2019-10-12,2023-12-15,84.42666666666668,5,5,5,5.0,Champions,2,Premium
31,3,13,415.42,2019-10-24,2023-12-26,31.955384615384617,5,4,2,3.55,Others,1,Mid Value
32,206,12,306.27,2019-06-01,2023-06-06,25.522499999999997,2,4,1,2.1,Others,0,Low Value
33,11,10,741.4300000000001,2019-04-27,2023-12-18,74.143,5,3,4,4.1,Loyal Customers,2,Premium
34,94,14,764.19,2019-01-07,2023-09-26,54.585,2,5,4,3.55,Loyal Customers,3,High Value
35,67,9,951.57,2019-06-12,2023-10-23,105.73,3,2,5,3.55,At Risk,3,High Value
36,41,9,485.46999999999997,2020-06-03,2023-11-18,53.941111111111105,4,2,3,3.1,Potential Loyalists,1,Mid Value
37,220,9,659.9,2019-03-10,2023-05-23,73.32222222222222,2,2,4,2.8,At Risk,3,High Value
38,15,11,396.3,2019-01-06,2023-12-14,36.02727272727273,5,3,2,3.3,Potential Loyalists,1,Mid Value
39,400,8,447.73,2019-10-13,2022-11-24,55.96625,1,2,3,2.0500000000000003,Others,0,Low Value
40,31,7,427.51,2019-06-24,2023-11-28,61.07285714285714,4,1,3,2.85,Potential Loyalists,1,Mid Value
41,39,4,178.76999999999998,2020-12-24,2023-11-20,44.692499999999995,4,1,1,2.05,Potential Loyalists,1,Mid Value
42,26,12,512.33,2019-08-19,2023-12-03,42.69416666666667,4,4,3,3.6,Loyal Customers,2,Premium
43,50,11,305.65000000000003,2019-04-16,2023-11-09,27.78636363636364,3,3,1,2.1999999999999997,Potential Loyalists,1,Mid Value
44,306,8,830.2,2020-07-02,2023-02-26,103.775,1,2,5,2.85,Others,3,High Value
45,381,10,345.05,2019-01-14,2022-12-13,34.505,1,3,2,1.9000000000000001,Others,0,Low Value
46,381,6,272.72,2019-11-22,2022-12-13,45.45333333333334,1,1,1,1.0,Lost,0,Low Value
47,38,6,540.32,2019-11-08,2023-11-21,90.05333333333334,4,1,3,2.85,Potential Loyalists,1,Mid Value
